nom_prot regne type milieu
AzochrTOPb_X_B_A0A0C C TOP A 
AzochrTOPa_X_B_A0A0C C TOP A 
GynsunTOPb_X_B_A0A0C C TOP A 
GynsunTOPa_X_B_A0A0C C TOP A 
SiazeaTOPa_X_B_A0A0C C TOP A 
SiazeaTOPb_X_B_A0A0C C TOP A 
MycdisTOPz_X_B_A0A0C C TOP A 
Dehsp.TOPz_M_B_A0A0C C TOP A 
LacmucTOPa_X_B_A0A0D D TOP A 
LacmucTOPb_X_B_A0A0D D TOP A 
MarendTOPz_X_B_A0A0D D TOP A 
Halsp.TOPa_X_B_A0A0D D TOP A 
Halsp.TOPb_X_B_A0A0D D TOP A 
PaebeiTOPb_X_B_A0A0D D TOP A 
PaebeiTOPa_X_B_A0A0D D TOP A 
PaebeiTOPc_X_B_A0A0D D TOP A 
KlemicTOPb_X_B_A0A0D D TOP A 
KlemicTOPc_X_B_A0A0D D TOP A 
KlemicTOPa_X_B_A0A0D D TOP A 
MurlutTOPz_X_B_A0A0D D TOP A 
LacaceTOPz_X_B_A0A0D D TOP A 
Gemsp.TOPz_X_B_A0A0D D TOP A 
RhosulTOPz_X_B_A0A0D D TOP A 
EdwpisTOPb_X_B_A0A0E E TOP A 
EdwpisTOPa_X_B_A0A0E E TOP A 
PsechlTOPb_X_B_A0A0E E TOP A 
PsechlTOPa_X_B_A0A0E E TOP A 
CloscaTOPc_X_B_A0A0E E TOP A 
CloscaTOPa_X_B_A0A0E E TOP A 
CloscaTOPb_X_B_A0A0E E TOP A 
VerbacTOPz_X_B_A0A0E E TOP A 
PanoxaTOPz_X_B_A0A0E E TOP A 
SneamnTOPz_X_B_A0A0E E TOP A 
PonkorTOPb_X_B_A0A0E E TOP A 
PonkorTOPa_X_B_A0A0E E TOP A 
SpiradTOPz_X_B_A0A0E E TOP A 
BurcepTOPz_X_B_A0A0E E TOP A 
Thesp.E1TOPz_T_B_A0A A E1T A 
CorkutTOPz_X_B_A0A0F F TOP A 
CitamaTOPa_X_B_A0A0F F TOP A 
KangeoTOPz_X_B_A0A0F F TOP A 
ShifleTOPb_X_B_A0A0H H TOP A 
YerpesTOPa_X_B_A0A0H H TOP A 
BurmalTOPz_M_B_A0A0H H TOP A 
ChltraTOPz_M_B_A0A0H H TOP A 
BurcenTOPz_M_B_A0A0H H TOP A 
RicricTOPz_M_B_A0A0H H TOP A 
EntcloTOPb_M_B_A0A0H H TOP A 
EntcloTOPc_M_B_A0A0H H TOP A 
EntcloTOPa_M_B_A0A0H H TOP A 
AmymedTOPz_M_B_A0A0H H TOP A 
BacatrTOPa_M_B_A0A0H H TOP A 
BacatrTOPb_M_B_A0A0H H TOP A 
BifbifTOPz_X_B_A0A0H H TOP A 
