nom_prot regne type milieu
ChrsalTOPa_M_B B TOP M 
ChrsalTOPb_M_B B TOP M 
ChrvioTOPz_M_B B TOP M 
CitrodTOPa_M_B B TOP M 
CitrodTOPb_M_B B TOP M 
ClamicTOPz_M_B B TOP M 
CloaceTOPa_X_B B TOP X 
CloaceTOPb_X_B B TOP X 
CloaceTOPc_X_B B TOP X 
CloaciTOPz_X_B B TOP X 
ClobeiTOPa_M_B B TOP M 
ClobeiTOPb_M_B B TOP M 
ClobeiTOPc_M_B B TOP M 
ClobotTOPa_X_B B TOP X 
ClobotTOPb_X_B B TOP X 
ClobotTOPc_X_B B TOP X 
CcelE1TOPa_M_B B TOP M 
CcelE1TOPb_M_B B TOP M 
ClocelTOPa_M_B B TOP M 
ClocelTOPb_M_B B TOP M 
ClocelTOPc_M_B B TOP M 
Clocf.TOPa_M_B B TOP M 
Clocf.TOPb_M_B B TOP M 
Clocf.TOPc_M_B B TOP M 
Clocf.TOPd_M_B B TOP M 
Clocf.TOPe_M_B B TOP M 
CloclaTOPa_X_B B TOP X 
CloclaTOPb_X_B B TOP X 
ClodifTOPa_X_B B TOP X 
ClodifTOPb_X_B B TOP X 
ClodifTOPc_X_B B TOP X 
ClodifTOPd_X_B B TOP X 
ClodifTOPe_X_B B TOP X 
ClodifTOPf_X_B B TOP X 
ClogenTOPz_X_B B TOP X 
ClokluTOPa_M_B B TOP M 
ClokluTOPb_M_B B TOP M 
CloljuTOPa_M_B B TOP M 
CloljuTOPb_M_B B TOP M 
CloljuTOPc_M_B B TOP M 
ClonovTOPa_X_B B TOP X 
ClonovTOPb_X_B B TOP X 
ClonovTOPc_X_B B TOP X 
CloperTOPa_X_B B TOP X 
CloperTOPb_X_B B TOP X 
ClophyTOPa_M_B B TOP M 
ClophyTOPb_M_B B TOP M 
ClosacTOPa_M_B B TOP M 
ClosacTOPb_M_B B TOP M 
ClosacTOPc_M_B B TOP M 
ClosacTOPd_M_B B TOP M 
Closp.TOPa_X_B B TOP X 
Closp.TOPb_X_B B TOP X 
ClostiTOPa_M_B B TOP M 
ClostiTOPb_M_B B TOP M 
ClotetTOPa_M_B B TOP M 
ClotetTOPb_M_B B TOP M 
ClotetTOPc_M_B B TOP M 
ClotheTOPz_T_B B TOP T 
ColfunTOPz_X_B B TOP X 
ColpsyTOPa_P_B B TOP P 
ColpsyTOPb_P_B B TOP P 
ComtesTOPz_X_B B TOP X 
ConwoeTOPz_M_B B TOP M 
CopcatTOPa_M_B B TOP M 
CopcatTOPb_M_B B TOP M 
CopproTOPz_T_B B TOP T 
Copsp.TOPa_M_B B TOP M 
Copsp.TOPb_M_B B TOP M 
CorakaTOPz_M_B B TOP M 
CoraurTOPz_M_B B TOP M 
CordipTOPz_M_B B TOP M 
CoreffTOPz_M_B B TOP M 
CorgloTOPz_M_B B TOP M 
CorgluTOPa_M_B B TOP M 
CorgluTOPb_M_B B TOP M 
CorjeiTOPz_M_B B TOP M 
CorkroTOPz_M_B B TOP M 
CorpseTOPz_X_B B TOP X 
CorresTOPz_X_B B TOP X 
CorulcTOPz_X_B B TOP X 
CorureTOPz_M_B B TOP M 
CorvarTOPz_M_B B TOP M 
CoxburTOPz_M_B B TOP M 
CrigriTOPz_X_E E TOP X 
CroatlTOPz_X_B B TOP X 
CroturTOPa_X_B B TOP X 
CroturTOPb_X_B B TOP X 
CrycurTOPz_X_B B TOP X 
CryneoTOPz_X_E E TOP X 
CupnecTOPz_X_B B TOP X 
CuppinTOPz_X_B B TOP X 
CuptaiTOPz_M_B B TOP M 
Cyasp.TOPa_X_B B TOP X 
Cyasp.TOPb_X_B B TOP X 
CycmarTOPa_X_B B TOP X 
CycmarTOPb_X_B B TOP X 
CythutTOPa_M_B B TOP M 
CythutTOPb_M_B B TOP M 
DaucarTOPz_X_E E TOP X 
DecaroTOPz_X_B B TOP X 
DefdesTOPz_T_B B TOP T 
DehethTOPz_M_B B TOP M 
DehlykTOPz_M_B B TOP M 
Dehsp.TOPz_X_B B TOP X 
DeidesTOPz_M_B B TOP M 
DeigeoTOPz_M_B B TOP M 
DeimarTOPa_M_B B TOP M 
DeimarTOPb_M_B B TOP M 
DeiproTOPz_M_B B TOP M 
DeiradTOPz_M_B B TOP M 
DelaciTOPa_M_B B TOP M 
DelaciTOPb_M_B B TOP M 
Delsp.TOPz_M_B B TOP M 
DenaceTOPz_M_B B TOP M 
DaceE1TOPz_X_B B TOP X 
DesaceTOPa_M_B B TOP M 
DesaceTOPb_M_B B TOP M 
DesaceTOPc_M_B B TOP M 
DesaesTOPz_M_B B TOP M 
DesafrTOPz_X_B B TOP X 
DalkE1TOPz_M_B B TOP M 
DesalkTOPz_M_B B TOP M 
DesaudTOPz_X_B B TOP X 
DesautTOPa_M_B B TOP M 
DesautTOPb_M_B B TOP M 
DesbaaTOPz_X_B B TOP X 
DesbacTOPa_M_B B TOP M 
DesbacTOPb_M_B B TOP M 
DescarTOPz_X_B B TOP X 
DesdesTOPa_M_B B TOP M 
DesdesTOPb_M_B B TOP M 
DeshafTOPa_M_B B TOP M 
DeshafTOPb_M_B B TOP M 
DeshafTOPc_M_B B TOP M 
DesindTOPz_X_B B TOP X 
DeskamRGa_T_A A RG T 
DeskamRGb_T_A A RG T 
DeskamTOPz_T_A A TOP T 
DeskuzTOPa_X_B B TOP X 
DeskuzTOPb_X_B B TOP X 
DesmagTOPz_X_B B TOP X 
DesmucRGa_T_A A RG T 
DesmucRGb_T_A A RG T 
DesmucTOPz_T_A A TOP T 
DesoleTOPz_M_B B TOP M 
DesoriTOPa_X_B B TOP X 
DesoriTOPb_X_B B TOP X 
DesoriTOPc_X_B B TOP X 
DesproTOPz_M_B B TOP M 
DespsyTOPz_P_B B TOP P 
DesredTOPa_M_B B TOP M 
DesredTOPb_M_B B TOP M 
DesredTOPc_M_B B TOP M 
DesredTOPd_M_B B TOP M 
DesretTOPz_M_B B TOP M 
DesrumTOPa_M_B B TOP M 
DesrumTOPb_M_B B TOP M 
DesrumTOPc_M_B B TOP M 
DessalTOPa_M_B B TOP M 
DessalTOPb_M_B B TOP M 
DestheRGz_T_B B RG T 
DestheTOPz_T_B B TOP T 
DesvulTOPa_M_B B TOP M 
DesvulTOPb_M_B B TOP M 
DicdadTOPa_M_B B TOP M 
DicdadTOPb_M_B B TOP M 
DicdisTOPa_X_E E TOP X 
DicdisTOPb_X_E E TOP X 
DicnodTOPz_M_B B TOP M 
DictheRGz_T_B B RG T 
DictheTOPz_T_B B TOP T 
DicturRGz_T_B B RG T 
DicturTOPz_T_B B TOP T 
DiczeaTOPa_X_B B TOP X 
DiczeaTOPb_X_B B TOP X 
DiczeaTOPc_X_B B TOP X 
DinshiTOPz_M_B B TOP M 
DromelTOPa_X_E E TOP X 
DromelTOPb_X_E E TOP X 
DyaferTOPa_M_B B TOP M 
DyaferTOPb_M_B B TOP M 
EdwictTOPa_X_B B TOP X 
EdwictTOPb_X_B B TOP X 
EdwictTOPc_X_B B TOP X 
EdwtarTOPa_X_B B TOP X 
EdwtarTOPb_X_B B TOP X 
EgglenTOPa_M_B B TOP M 
EgglenTOPb_M_B B TOP M 
EhrcanTOPz_X_B B TOP X 
EhrchaTOPz_X_B B TOP X 
EhrrumTOPz_X_B B TOP X 
EluminTOPz_M_B B TOP M 
EnccunTOPz_X_E E TOP X 
EntaerTOPa_X_B B TOP X 
EntaerTOPb_X_B B TOP X 
EntasbTOPa_M_B B TOP M 
EntasbTOPb_M_B B TOP M 
EntcloTOPa_X_B B TOP X 
EntcloTOPb_X_B B TOP X 
EntfaeTOPa_X_B B TOP X 
EntfaeTOPb_X_B B TOP X 
EntfaeTOPc_X_B B TOP X 
EntligTOPa_X_B B TOP X 
EntligTOPb_X_B B TOP X 
Ent.E1TOPa_X_B B TOP X 
Ent.E1TOPb_X_B B TOP X 
Entsp.TOPa_X_B B TOP X 
Entsp.TOPb_X_B B TOP X 
ErwamyTOPa_X_B B TOP X 
ErwamyTOPb_X_B B TOP X 
ErwbilTOPa_M_B B TOP M 
ErwbilTOPb_M_B B TOP M 
ErwcarTOPa_X_B B TOP X 
ErwcarTOPb_X_B B TOP X 
ErwcarTOPc_X_B B TOP X 
ErwpyrTOPa_M_B B TOP M 
ErwpyrTOPb_M_B B TOP M 
Erwsp.TOPa_X_B B TOP X 
Erwsp.TOPb_X_B B TOP X 
Erwsp.TOPc_X_B B TOP X 
ErwtasTOPa_M_B B TOP M 
ErwtasTOPb_M_B B TOP M 
ErylitTOPz_X_B B TOP X 
EryrhuTOPz_M_B B TOP M 
EsccolTOPa_X_B B TOP X 
EsccolTOPb_X_B B TOP X 
EscferTOPa_X_B B TOP X 
EscferTOPb_X_B B TOP X 
EthharTOPa_M_B B TOP M 
EthharTOPb_M_B B TOP M 
EubeliTOPa_M_B B TOP M 
EubeliTOPb_M_B B TOP M 
EublimTOPa_X_B B TOP X 
EublimTOPb_X_B B TOP X 
EublimTOPc_X_B B TOP X 
EubrecTOPa_X_B B TOP X 
EubrecTOPb_X_B B TOP X 
EubrecTOPc_X_B B TOP X 
EubsirTOPa_M_B B TOP M 
EubsirTOPb_M_B B TOP M 
ExisibTOPa_P_B B TOP P 
ExisibTOPb_P_B B TOP P 
Exisp.TOPa_T_B B TOP T 
Exisp.TOPb_T_B B TOP T 
FaepraTOPa_M_B B TOP M 
