prot_1 prot_2 force
BacfraTOPb_M_B AersalTOPb_M_B 21 
BacfraTOPb_M_B AkkmucTOPz_M_B 21 
BacfraTOPb_M_B AroaroTOPa_M_B 21 
BacfraTOPb_M_B AroaroTOPb_M_B 21 
BacfraTOPb_M_B AtoparTOPz_M_B 21 
BacfraTOPb_M_B BacantTOPb_M_B 21 
BacfraTOPb_M_B BacantTOPc_M_B 21 
BacfraTOPb_M_B BaccerTOPb_M_B 21 
BacfraTOPb_M_B BaccerTOPc_M_B 21 
BacfraTOPc_M_B AciferTOPb_M_B 21 
BacfraTOPc_M_B AciferTOPc_M_B 21 
BacfraTOPc_M_B AersalTOPb_M_B 21 
BacfraTOPc_M_B AkkmucTOPz_M_B 21 
BacfraTOPc_M_B AroaroTOPa_M_B 21 
BacfraTOPc_M_B AroaroTOPb_M_B 21 
BacfraTOPc_M_B AtoparTOPz_M_B 21 
BacfraTOPc_M_B BacantTOPb_M_B 21 
BacfraTOPc_M_B BacantTOPc_M_B 21 
BacfraTOPc_M_B BaccerTOPb_M_B 21 
BacfraTOPc_M_B BaccerTOPc_M_B 21 
BacfraTOPc_M_B BacfraTOPb_M_B 21 
BacsubTOPa_M_B AciferTOPb_M_B 21 
BacsubTOPa_M_B AciferTOPc_M_B 21 
BacsubTOPa_M_B AersalTOPb_M_B 21 
BacsubTOPa_M_B AkkmucTOPz_M_B 21 
BacsubTOPa_M_B AroaroTOPa_M_B 21 
BacsubTOPa_M_B AroaroTOPb_M_B 21 
BacsubTOPa_M_B AtoparTOPz_M_B 21 
BacsubTOPa_M_B BacantTOPb_M_B 21 
BacsubTOPa_M_B BacantTOPc_M_B 21 
BacsubTOPa_M_B BaccerTOPb_M_B 21 
BacsubTOPa_M_B BaccerTOPc_M_B 21 
BacsubTOPa_M_B BacfraTOPb_M_B 21 
BacsubTOPa_M_B BacfraTOPc_M_B 21 
BacsubTOPb_M_B BacantTOPa_M_B 21 
BacsubTOPb_M_B BaccerTOPa_M_B 21 
BarbacTOPz_M_B AcicapTOPz_M_B 20 
BarbacTOPz_M_B AciferTOPa_M_B 21 
BarbacTOPz_M_B AmicolTOPz_M_B 20 
BarbacTOPz_M_B AnathmTOPz_X_B 21 
BarbacTOPz_M_B AquaeoTOPz_T_B 20 
BarbacTOPz_M_B BacfraTOPa_M_B 20 
BaucicTOPz_X_B AcicapTOPz_M_B 16 
BaucicTOPz_X_B AmicolTOPz_M_B 16 
BaucicTOPz_X_B AquaeoTOPz_T_B 16 
BaucicTOPz_X_B BacfraTOPa_M_B 16 
BruaboTOPz_M_B AcicapTOPz_M_B 20 
BruaboTOPz_M_B AciferTOPa_M_B 21 
BruaboTOPz_M_B AmicolTOPz_M_B 20 
BruaboTOPz_M_B AnathmTOPz_X_B 21 
BruaboTOPz_M_B AquaeoTOPz_T_B 20 
BruaboTOPz_M_B BacfraTOPa_M_B 20 
BruaboTOPz_M_B BarbacTOPz_M_B 21 
CaeeleTOPz_M_E ArathaTOPb_M_E 21 
CaeeleTOPz_M_E ArathaTOPc_M_E 21 
CalmaqRGz_T_A AcamarTOPa_M_B 20 
CalmaqRGz_T_A AcibooRGz_T_A 21 
CalmaqRGz_T_A AcihosRGa_X_A 21 
CalmaqRGz_T_A AcihosRGb_X_A 21 
CalmaqRGz_T_A AcisacRGz_T_A 21 
CalmaqRGz_T_A AerperRGa_T_A 21 
CalmaqRGz_T_A AerperRGb_T_A 21 
CalmaqRGz_T_A AquaeoRGa_T_B 21 
CalmaqRGz_T_A AquaeoRGb_T_B 21 
CalmaqRGz_T_A ArcfulRGz_T_A 21 
CalmaqRGz_T_A ArcproRGz_T_A 21 
CalmaqRGz_T_A ArcvenRGz_T_A 21 
CalsacRGz_T_B AcamarTOPa_M_B 20 
CalsacRGz_T_B AcibooRGz_T_A 21 
CalsacRGz_T_B AcihosRGa_X_A 21 
CalsacRGz_T_B AcihosRGb_X_A 21 
CalsacRGz_T_B AcisacRGz_T_A 21 
CalsacRGz_T_B AerperRGa_T_A 21 
CalsacRGz_T_B AerperRGb_T_A 21 
CalsacRGz_T_B AquaeoRGa_T_B 21 
CalsacRGz_T_B AquaeoRGb_T_B 21 
CalsacRGz_T_B ArcfulRGz_T_A 21 
CalsacRGz_T_B ArcproRGz_T_A 21 
CalsacRGz_T_B ArcvenRGz_T_A 21 
CalsacRGz_T_B CalmaqRGz_T_A 21 
CalsacTOPz_T_B AcicapTOPz_M_B 20 
CalsacTOPz_T_B AciferTOPa_M_B 20 
CalsacTOPz_T_B AmicolTOPz_M_B 20 
CalsacTOPz_T_B AnathmTOPz_X_B 20 
CalsacTOPz_T_B AquaeoTOPz_T_B 20 
CalsacTOPz_T_B BacantTOPa_M_B 16 
CalsacTOPz_T_B BaccerTOPa_M_B 16 
CalsacTOPz_T_B BacfraTOPa_M_B 20 
CalsacTOPz_T_B BacsubTOPb_M_B 16 
CalsacTOPz_T_B BarbacTOPz_M_B 20 
CalsacTOPz_T_B BruaboTOPz_M_B 20 
CamjejTOPz_M_B AcicapTOPz_M_B 21 
CamjejTOPz_M_B AciferTOPa_M_B 20 
CamjejTOPz_M_B AmicolTOPz_M_B 21 
CamjejTOPz_M_B AnathmTOPz_X_B 20 
CamjejTOPz_M_B AquaeoTOPz_T_B 21 
CamjejTOPz_M_B BacfraTOPa_M_B 21 
