Nombre de groupes :  3 
Ligne : Groupe ID_proteine nom_proteine
##############################################
# Singletons -  0  proteines
2   402 YerpesTOPb_M_B 
2   403 ZymmobTOPz_M_B 
##############################################
# Groupe  3  -  82  proteines
3   3 AcibooRGz_T_A 
3   11 AcihosRGa_X_A 
3   12 AcihosRGb_X_A 
3   14 AcisacRGz_T_A 
3   16 AerperRGa_T_A 
3   17 AerperRGb_T_A 
3   25 AquaeoRGa_T_B 
3   26 AquaeoRGb_T_B 
3   31 ArcfulRGz_T_A 
3   33 ArcproRGz_T_A 
3   35 ArcvenRGz_T_A 
3   57 CalmaqRGz_T_A 
3   59 CalsacRGz_T_B 
3   62 CammedRGz_T_B 
3   89 DeskamRGa_T_A 
3   90 DeskamRGb_T_A 
3   92 DesmucRGa_T_A 
3   93 DesmucRGb_T_A 
3   100 DictheRGz_T_B 
3   111 FerplaRGz_M_A 
3   147 HypbutRGa_T_A 
3   148 HypbutRGb_T_A 
3   150 IgnaggRGa_T_A 
3   153 IgnhosRGa_T_A 
3   154 IgnhosRGb_T_A 
3   186 MetcupRGa_X_A 
3   187 MetcupRGb_X_A 
3   191 MetfeiRGz_T_A 
3   193 MetferRGz_T_A 
3   197 MetignRGz_X_A 
3   199 MetinfRGz_T_A 
3   202 MetjanRGz_T_A 
3   213 MetokiRGz_T_A 
3   220 MetsedRGa_T_A 
3   221 MetsedRGb_T_A 
3   224 Metsp.RGz_T_A 
3   233 MetvulRGz_T_A 
3   246 NauproRGz_M_B 
3   250 NeqRGz_T_A_NN 
3   254 Nitsp.RGz_T_B 
3   277 Pybsp.RGz_X_A 
3   279 PyrabyRGz_T_A 
3   281 PyraerRGz_T_A 
3   283 PyrarsRGz_T_A 
3   285 PyrcalRGz_T_A 
3   287 PyrfumRGa_T_A 
3   288 PyrfumRGb_T_A 
3   290 PyrfurRGz_T_A 
3   292 PyrhorRGz_T_A 
3   294 PyrislRGz_T_A 
3   296 PyrkodRGz_X_A 
3   298 Pyrsp.RGz_X_A 
3   300 PyryayRGz_X_A 
3   324 StahelRGa_T_A 
3   325 StahelRGb_T_A 
3   327 StamarRGa_T_A 
3   328 StamarRGb_T_A 
3   334 SulaciRGa_T_A 
3   335 SulaciRGb_T_A 
3   337 SulislRGa_T_A 
3   338 SulislRGb_T_A 
3   340 SulsolRGa_T_A 
3   341 SulsolRGb_T_A 
3   343 SultokRGa_T_A 
3   344 SultokRGb_T_A 
3   351 TheaggRGa_T_A 
3   352 TheaggRGb_T_A 
3   354 ThebarRGz_X_A 
3   357 ThegamRGz_T_A 
3   359 ThemarRGz_T_B 
3   361 TheneuRGz_T_A 
3   363 TheonnRGz_T_A 
3   365 ThepenRGz_T_A 
3   368 ThesibRGz_T_A 
3   370 Thesp.RGz_T_A 
3   371 Thesp.RGz_X_B 
3   374 ThetenRGz_T_B 
3   375 ThetenRGz_X_A 
3   379 ThethmRGz_T_B 
3   381 TheuzoRGz_X_A 
3   395 VuldisRGz_T_A 
3   397 VulmouRGz_X_A 
